columnHeaders,columnNames,dateFormat
customerId,Account ID,pick appropriate date format
customerName,Account Name,pick appropriate date format
contractId,Opportunity ID,pick appropriate date format
contractStartDate,Contract Term Start,mm/dd/yy
contractEndDate,Contract Term End,mm/dd/yy
totalContractValue,Amount,pick appropriate date format
